x,y,time
82.58941288603748,20.276307345282984,369.04984795537257
99.83150463849024,19.242091752452772,86.23472824261977
56.72627525735832,26.317184348267407,71.05033839916263
65.3473211335847,27.86313762867916,344.29296815009235
73.96836700981109,27.86313762867916,17.13623532032635
99.83150463849024,27.86313762867916,80.27427542807604
99.83150463849024,36.484183504905545,49.201284802016836
65.3473211335847,53.72627525735832,33.14949113530809
65.3473211335847,62.3473211335847,2.597520059643749
73.96836700981109,62.3473211335847,105.89812530301718
108.45255051471663,70.96836700981109,280.0092177669823
82.58941288603748,79.58941288603748,61.31698670373806
82.58941288603748,88.21045876226387,371.6060670660085
111.85264713776759,88.71110411352673,189.4424246003904
117.07359639094302,88.21045876226387,277.0315110883739
82.58941288603748,96.83150463849024,146.4012737576028
112.49835417464124,95.1681744822631,38.003684228143776
114.39809881179619,97.22291943079144,96.43201149835298
117.07359639094302,115.92427767562697,127.64270831607463
123.30713424518822,115.82009944088017,62.62305307000249
117.07359639094302,122.59602983226404,176.42626978395282
123.5393807981128,124.6526788664153,111.67002215337591
82.58941288603748,131.3156881433958,243.8939381231534
114.81972248698108,129.06181423943383,102.96758050384842
22.242091752452772,139.93673401962218,35.72015948499843
30.86313762867916,139.93673401962218,303.68635061478034
91.21045876226387,139.93673401962218,220.95200125154128
22.242091752452772,148.55777989584857,493.62585400870444
145.09199548867878,166.8411876292283,136.34969737693189
151.55777989584857,167.69205966452813,147.63126630917841
158.16623667097252,166.1245967779415,64.57682143814516
151.55777989584857,174.42091752452774,154.09039200861926
17.514506252392362,181.04845469568096,18.411434700141687
22.242091752452772,181.04845469568096,147.626278439938
134.3156881433958,183.0419634007541,117.10267862697572
134.3156881433958,191.6630092769805,168.12303980900046
82.58941288603748,200.28405515320688,197.81905403091474
31.39439011311685,210.26422127622595,549.4255348915565
99.83150463849024,208.90510102943327,75.47960509110683
142.93673401962218,208.90510102943327,345.73791386117875
32.701536726414915,217.52614690565966,60.5450001750393
56.72627525735832,217.52614690565966,1157.2133578408163
99.83150463849024,217.52614690565966,14.2151686949038
142.93673401962218,217.4673584239148,39.46999872585353
41.747272223264304,227.30781692037704,28.40309788706919
94.3186092261129,226.14719278188605,40.410012009217546
99.83150463849024,226.14719278188605,120.51638331165434
108.45255051471663,225.5670983689743,151.19706588806852
37.32892203584895,235.01405910675064,76.14821190314956
